iter	Passed	Remaining
0	2	5472
1	4	4436
2	6	4085
3	7	3951
4	9	3809
5	11	3695
6	12	3661
7	14	3709
8	17	3746
9	19	3827
10	21	3801
11	22	3781
12	24	3776
13	26	3760
14	28	3742
15	30	3732
16	32	3763
17	34	3798
18	36	3797
19	38	3774
20	39	3746
21	41	3716
22	43	3691
23	44	3669
24	46	3645
25	48	3642
26	49	3621
27	51	3629
28	53	3608
29	54	3589
30	56	3572
31	58	3559
32	59	3542
33	61	3528
34	62	3514
35	64	3512
36	66	3510
37	68	3519
38	70	3512
39	71	3506
40	73	3496
41	75	3486
42	76	3476
43	78	3467
44	80	3464
45	81	3454
46	83	3449
47	85	3458
48	87	3448
49	88	3439
50	90	3431
51	92	3430
52	93	3425
53	95	3419
54	97	3421
55	99	3422
56	101	3434
57	103	3431
58	104	3423
59	106	3416
60	107	3410
61	109	3403
62	111	3396
63	112	3390
64	114	3392
65	116	3394
66	118	3391
67	119	3386
68	121	3380
69	123	3374
70	124	3368
71	126	3362
72	127	3355
73	129	3353
74	131	3353
75	133	3348
76	135	3352
77	136	3347
78	138	3341
79	139	3338
80	141	3332
81	143	3327
82	144	3322
83	146	3323
84	148	3318
85	150	3319
86	151	3316
87	153	3311
88	155	3309
89	156	3306
90	158	3303
91	160	3299
92	161	3294
93	163	3300
94	165	3296
95	167	3299
96	169	3299
97	170	3299
98	172	3297
99	174	3296
100	176	3291
101	177	3286
102	179	3285
103	181	3281
104	183	3284
105	184	3283
106	186	3283
107	188	3284
108	190	3280
109	191	3277
110	193	3273
111	195	3272
112	197	3270
113	198	3270
114	200	3269
115	202	3266
116	204	3264
117	205	3260
118	207	3256
119	208	3252
120	210	3250
121	212	3248
122	213	3246
123	215	3246
124	217	3243
125	219	3239
126	220	3238
127	222	3234
128	224	3230
129	225	3227
130	227	3224
131	229	3225
132	230	3222
133	232	3223
134	234	3221
135	236	3220
136	238	3222
137	239	3218
138	241	3214
139	243	3210
140	244	3210
141	246	3207
142	248	3204
143	250	3206
144	251	3203
145	253	3201
146	255	3200
147	257	3198
148	258	3195
149	260	3194
150	262	3195
151	264	3193
152	266	3193
153	267	3190
154	269	3188
155	271	3185
156	272	3181
157	274	3178
158	275	3175
159	277	3174
160	279	3170
161	280	3167
162	282	3167
163	284	3164
164	285	3161
165	287	3157
166	289	3155
167	290	3152
168	292	3150
169	294	3151
170	296	3148
171	298	3150
172	299	3147
173	301	3145
174	303	3143
175	304	3140
176	306	3137
177	308	3134
178	309	3132
179	311	3133
180	313	3135
181	315	3133
182	317	3131
183	319	3129
184	320	3127
185	322	3124
186	323	3121
187	325	3118
188	327	3120
189	329	3121
190	332	3128
191	334	3126
192	335	3123
193	337	3120
194	338	3117
195	340	3115
196	342	3112
197	344	3111
198	345	3109
199	347	3109
200	349	3107
201	350	3104
202	352	3101
203	354	3098
204	355	3095
205	357	3093
206	359	3092
207	361	3091
208	362	3088
209	364	3091
210	366	3091
211	368	3088
212	370	3085
213	371	3082
214	373	3079
215	375	3078
216	376	3077
217	378	3074
218	380	3072
219	382	3072
220	383	3070
221	385	3068
222	387	3065
223	388	3062
224	390	3059
225	392	3058
226	394	3059
227	396	3059
228	397	3057
229	399	3054
230	401	3052
231	402	3050
232	404	3048
233	406	3046
234	407	3044
235	409	3045
236	411	3043
237	413	3044
238	415	3042
239	417	3044
240	419	3042
241	421	3041
242	422	3038
243	424	3038
244	427	3040
245	429	3040
246	430	3037
247	432	3035
248	434	3033
249	435	3030
250	437	3028
251	438	3025
252	440	3023
253	442	3022
254	444	3019
255	446	3020
256	447	3017
257	449	3014
258	451	3012
259	452	3009
260	454	3007
261	455	3005
262	457	3004
263	459	3003
264	461	3001
265	463	3001
266	464	2998
267	466	2996
268	468	2994
